# MJD orderslope
# subtract (m - 84) * orderslope from each order at MJD
58588.531811 0.641770
58588.549287 0.660662
58588.558652 0.665369
58588.574485 0.679051
58588.582794 0.682424
58588.593567 0.695699
58588.601015 0.699058
58588.617215 0.702011
58588.622674 0.701911
58588.625720 0.701722
58588.633754 0.701824
58588.636862 0.701493
58588.638794 0.701731
58588.658803 0.707148
58588.660990 0.708395
58588.663754 0.711482
58588.665982 0.712227
58588.668705 0.715859
58588.673674 0.721155
58588.676116 0.727448
58588.678604 0.730518
58588.681049 0.736149
58588.683331 0.740815
58588.685561 0.744766
58588.687739 0.749234
58588.689798 0.754421
58588.693650 0.754046
58588.694822 0.758077
58588.702588 0.777830
58588.703930 0.779991
58588.711229 0.787575
58588.722390 0.792330
58588.724003 0.789810
58607.187775 2.064823
58607.443695 1.133700
58607.448469 1.122799
58607.452883 1.118020
58607.461609 1.123369
58607.472930 1.133074
58607.482500 1.142171
58607.488293 1.152322
58607.491122 1.156620
58607.501153 1.173767
58607.509804 1.203500
58607.522658 1.208319
58607.535037 1.215934
58607.539053 1.218674
58607.543172 1.233358
58607.547207 1.234687
58607.551400 1.243053
58607.555457 1.244622
58607.563804 1.264734
58607.567906 1.269828
58607.647637 1.339922
58607.663449 1.355453
58607.671348 1.376121
58607.675178 1.387976
58607.683085 1.405296
58607.695567 1.424335
58607.715233 1.454531
58607.732815 1.474676
58607.739876 1.478476
58607.746923 1.479412
58608.320030 1.034423
58608.325789 1.016241
58608.331210 1.002664
58608.395986 0.836377
58608.400149 0.833338
58608.404278 0.834796
58608.418578 0.791562
58608.428767 0.808159
58608.433710 0.807713
58608.438566 0.807338
58608.452666 0.809995
58608.461373 0.816827
58608.469735 0.821614
58608.481715 0.813971
58608.489172 0.816550
58608.504576 0.812754
58608.512604 0.813217
58608.556340 0.825638
58608.572230 0.845674
58608.580663 0.863297
58608.589183 0.869140
58608.593488 0.874273
58608.597619 0.880780
58608.601683 0.886692
58608.609873 0.897850
58608.618230 0.908006
58608.626820 0.915226
58608.631154 0.920344
58608.643832 0.926175
58608.652337 0.930825
58608.665182 0.935167
58608.669429 0.934617
58608.673695 0.926869
58608.685354 0.912451
58608.692592 0.909704
58608.703119 0.914799
58608.706555 0.917693
58608.723795 0.919206
58608.727494 0.919181
58608.731293 0.919000
58608.751176 0.940358
58608.755595 0.942539
58608.760089 0.945898
58608.764507 0.945481
58608.767896 0.973055
58608.771928 0.972079
58608.779896 0.984472
58608.784366 0.989639
58608.789033 0.993693
58608.793620 0.998229
58609.310838 0.874160
58609.325058 0.807190
58609.335700 0.762533
58609.373802 0.715560
58609.378666 0.713110
58609.383614 0.711333
58609.388464 0.713543
58609.397913 0.717036
58609.433491 0.635625
58609.437853 0.637881
58609.442502 0.640988
58609.447083 0.645671
58609.451606 0.649170
58609.456075 0.649348
58609.465201 0.651698
58609.483023 0.658378
58609.495048 0.653757
58609.503213 0.657233
58609.511395 0.665997
58609.515607 0.668252
58609.519578 0.678135
58609.531822 0.697637
58609.537890 0.722770
58609.554900 0.768436
58609.577659 0.832994
58609.581899 0.840206
58609.589745 0.852621
58609.597620 0.864136
58609.609862 0.889328
58609.613647 0.898943
58609.617429 0.906978
58609.625138 0.923913
58609.629003 0.931106
58609.636876 0.946249
58609.644727 0.960702
58609.656503 0.976882
58609.668671 0.994617
58609.680676 1.005544
58609.688332 1.020454
58609.695980 1.030699
58609.699892 1.044811
58609.706883 1.060488
58609.710360 1.068957
58609.713823 1.080469
58609.717072 1.090038
58609.723765 1.100130
58609.727276 1.093019
58609.750434 1.181529
58609.754824 1.193855
58609.759124 1.202322
58609.763323 1.209643
58609.767409 1.217133
58609.775543 1.205174
58609.784926 1.221263
58609.786083 1.184427
58610.347268 0.913763
58610.357280 0.868891
58610.390860 0.751382
58610.395460 0.743213
58610.399984 0.742735
58610.409066 0.744140
58610.413515 0.752782
58610.417909 0.761914
58610.422304 0.761468
58610.426653 0.765700
58610.430960 0.773517
58610.454854 0.779333
58610.458660 0.782608
58610.462362 0.784578
58610.466126 0.788649
58610.477461 0.811550
58610.484463 0.834354
58610.487852 0.835575
58610.491343 0.837577
58610.503413 0.834801
58610.507740 0.832723
58610.515899 0.842046
58610.519792 0.847384
58610.523855 0.843823
58610.539526 0.856173
58610.547188 0.862855
58610.554883 0.872363
58610.562666 0.883971
58610.566705 0.889271
58610.570531 0.897687
58610.574340 0.904570
58610.582179 0.921755
58610.590154 0.939859
