# m MJD offset
# Subtract offset as function of MJD in each order m. Missing m means no calibration available
67 58586.404614 10.769497
67 58586.418035 11.271838
67 58586.422741 11.096978
67 58586.437856 11.254618
67 58586.442310 11.222524
67 58586.449074 11.090190
67 58586.579778 8.017645
67 58586.588389 8.651143
67 58586.601275 9.129775
67 58586.616764 9.791283
67 58586.636746 10.974853
67 58586.645267 10.999671
67 58586.649057 10.560591
67 58586.652450 10.551096
67 58586.661861 9.720795
67 58586.689016 8.773932
67 58586.710150 9.811181
67 58586.718530 10.545969
67 58586.731528 11.333311
67 58586.750395 12.128695
67 58586.765088 13.202191
67 58586.779127 13.895818
67 58587.438418 10.529656
67 58587.523105 8.700218
67 58587.528835 8.341189
67 58587.539379 7.327457
67 58587.615589 7.874324
67 58587.617561 7.876737
67 58587.619322 7.848848
67 58587.621611 7.816949
67 58587.623328 7.731684
67 58587.678026 7.635867
67 58587.723304 6.876083
67 58588.376661 3.400789
67 58588.451620 3.691863
67 58588.459352 3.910925
67 58588.477089 3.769200
67 58588.498203 4.094987
67 58588.505466 4.011589
67 58588.597603 2.999238
67 58588.647723 1.488086
67 58588.666321 0.954962
67 58588.676349 0.725022
67 58588.679564 0.904051
67 58588.682878 0.888934
67 58588.686621 1.065686
67 58588.756157 4.024204
67 58607.386995 24.344856
67 58607.390697 24.253627
67 58607.394259 24.374710
67 58607.398243 24.134813
67 58607.401553 24.397772
67 58607.409825 23.705286
67 58607.413668 23.391336
67 58607.433202 23.088148
67 58607.444459 22.571647
67 58607.451349 22.126362
67 58607.469463 20.401154
67 58607.485681 19.345508
67 58607.492320 18.637672
67 58607.555872 20.937099
67 58607.561406 21.076191
67 58607.565187 21.049546
67 58607.651655 21.573202
67 58607.680232 23.946714
67 58607.752177 26.524472
67 58607.760270 27.336977
67 58607.764017 27.849303
67 58607.811615 25.018017
67 58608.236952 16.805895
67 58608.346875 21.018871
67 58608.351636 20.797790
67 58608.372194 20.244150
67 58608.383378 20.165804
67 58608.441445 19.627365
67 58608.455156 19.370632
67 58608.463048 19.052617
67 58608.470101 18.457864
67 58608.482999 17.648675
67 58608.569672 17.388064
67 58608.617880 18.119810
67 58608.667190 17.930940
67 58608.708223 15.218699
67 58608.748014 15.093298
67 58608.782880 18.388285
67 58608.790704 18.992524
67 58608.809959 20.199563
67 58608.828956 21.645672
67 58608.838741 22.264760
67 58609.339465 19.304698
67 58609.344403 19.574196
67 58609.350029 20.054416
67 58609.360060 20.568013
67 58609.365483 21.009235
67 58609.383584 22.149202
67 58609.395910 22.389557
67 58609.404458 21.958394
67 58609.424974 18.968170
67 58609.432691 17.864310
67 58609.487142 18.304295
67 58609.491207 17.811465
67 58609.495486 17.474419
67 58609.548963 19.208018
67 58609.554294 19.388314
67 58609.559985 19.758438
67 58609.632581 21.378732
67 58609.694172 20.137140
67 58609.699678 20.467733
67 58609.715941 21.485581
67 58609.761820 23.128096
67 58609.767693 23.512856
67 58609.772957 23.379855
67 58609.784248 23.522778
67 58609.789827 23.480193
67 58609.795987 23.704733
67 58609.841791 22.178393
67 58610.343186 18.273633
67 58610.401714 16.041667
67 58610.407866 17.003416
67 58610.412470 17.470401
67 58610.422077 18.321108
67 58610.426728 18.787806
67 58610.441789 18.989493
67 58610.468529 18.400947
67 58610.480096 18.110697
67 58610.540324 15.186903
67 58610.547758 15.283189
67 58610.562520 14.973126
67 58610.569942 15.401984
67 58610.612895 14.011393
67 58610.670574 16.894676
67 58610.727983 17.540052
67 58610.732814 17.924400
67 58610.750682 18.392078
67 58610.767749 18.363214
67 58610.774236 18.149087
67 58614.295572 9.250043
67 58614.348346 15.803672
67 58614.352045 15.708546
67 58614.356066 15.928544
67 58614.366274 16.049236
67 58614.378432 16.799987
67 58614.403741 17.969803
67 58614.410405 18.187046
